STATION,NET
JAY ST-METROTEC,415797.0
23 ST,304188.5
PATH NEW WTC,287253.25
34 ST-PENN STA,256210.5
BROOKLYN BRIDGE,207542.0
GRD CNTRL-42 ST,158628.5
3 AV 138 ST,149130.0
JOURNAL SQUARE,146664.0
FULTON ST,118005.75
CANAL ST,109074.0
34 ST-HERALD SQ,101818.75
GROVE STREET,97441.25
86 ST,95183.75
CITY / BUS,90864.25
14 ST-UNION SQ,82566.0
WORLD TRADE CTR,81387.25
34 ST-HUDSON YD,79525.0
NEWARK BM BW,77699.0
THIRTY THIRD ST,74080.75
ATL AV-BARCLAY,72929.5
WTC-CORTLANDT,71090.5
116 ST,71027.5
68ST-HUNTER CO,67249.33333333333
CORTLANDT ST,66261.25
WALL ST,64943.75
