STATION,NET
168 ST,2145248.0
FLUSHING AV,1220446.0
FORDHAM RD,484739.0
36 ST,480048.0
66 ST-LINCOLN,412228.0
FULTON ST,278351.4
34 ST-PENN STA,265711.75
MARCY AV,254957.0
PATH NEW WTC,247366.0
47-50 STS ROCK,224824.0
8 ST-NYU,205914.0
HARRISON,192324.0
B'WAY-LAFAYETTE,188068.0
EXCHANGE PLACE,181668.83333333334
86 ST,172666.4
GRD CNTRL-42 ST,171166.4
14 ST-UNION SQ,170751.83333333334
23 ST,143688.75
PAVONIA/NEWPORT,129037.0
JOURNAL SQUARE,111611.66666666667
NEWARK C,109172.0
CANAL ST,106132.33333333333
34 ST-HERALD SQ,101811.0
JFK JAMAICA CT1,101016.33333333333
GROVE STREET,99325.0
